ID,Cond,Site,Date,Temp,TOTAL FC,TOTAL EC,TOTAL ENT,TOTAL CP,TOTAL SALM,TOTAL FPGE,TOTAL SOMPGE,TOTAL PART,TOTAL TOC
44,storm,8,7/25/2006,25.8,86501.13,1129.61,36637.72,92.00,427.00,14.00,1320.00,573826.67,10.0
45,storm,8,9/5/2006,22.9,11558.89,2206.57,15010.68,230.00,231.00,22.00,1020.00,234546.67,9.1
47,storm,8,10/28/2006,14.9,9238.59,1478.87,4521.42,23.00,93.28,2.00,690.00,335160.00,9.2
48,storm,8,11/7/2006,12.7,22403.38,3967.92,7743.60,240.00,72.33,18.00,732.00,130746.67,13.4
50,dry,2,6/19/2006,n/a,673.92,5.20,8.35,0.00,0.00,2.00,0.00,1866.67,3.8
51,dry,2,8/15/2006,26.8,4851.76,3.60,117.15,0.00,0.00,0.00,0.00,4016.67,4.0
52,dry,2,10/25/006,14.3,422.27,4.16,66.67,3.60,0.00,0.00,0.00,2676.67,3.632666667
53,dry,2,4/3/2007,15.6,155.71,2.55,10.51,0.00,0.00,0.00,40.00,1730.00,3.6
55,dry,3,6/19/2006,n/a,1627.80,41.02,90.81,240.00,0.00,10.00,212.00,7913.33,8.0
56,dry,3,8/15/2006,25.5,2817.33,36.19,1253.10,43.00,933.00,0.00,0.00,5803.33,5.2
57,dry,3,10/25/2006,7.9,886.98,15.21,452.13,93.00,3.01,0.00,10.00,2266.67,4.3
58,dry,3,4/3/2007,13.7,745.82,14.73,216.74,15.00,0.00,0.00,2.00,28343.33,8.9
60,dry,5,6/19/2006,n/a,8708.69,311.93,108.54,460.00,27.00,2.00,2.00,19390.00,5.8
61,dry,5,7/12/2006,n/a,24370.29,15.21,269.67,2400.00,5.00,0.00,12.00,14986.67,4.8
62,dry,5,8/15/2006,26.7,12163.15,10.05,360.40,460.00,36.00,0.00,24.00,48776.67,7
63,dry,5,10/25/2006,11.0,2449.29,10.05,344.31,1100.00,0.00,8.00,2.00,3406.67,3.981333333
65,dry,6,6/19/2006,n/a,6824.15,80.03,192.91,150.00,2.00,0.00,0.00,17436.67,10.9
66,dry,6,10/25/2006,7.8,1939.84,168.08,1540.97,2400.00,23.12,0.00,0.00,71040.00,5
67,dry,6,4/3/2007,14.7,193.93,36.19,85.42,240.00,3.00,0.00,0.00,28250.00,10
69,dry,7,6/19/2006,n/a,3575.79,328.51,196.84,75.00,24.00,12.00,222.00,43726.67,9.8
70,dry,7,7/12/2006,n/a,2198.36,97.56,140.14,23.00,5.00,0.00,174.00,24253.33,7.1
71,dry,7,8/15/2006,26.1,784.62,10.09,74.31,150.00,92.00,2.00,6.00,30553.33,7.6
72,dry,7,10/25/2006,10.0,581.54,85.81,255.11,93.00,3.05,4.00,82.00,12906.67,7.824
73,dry,7,4/3/2007,18.0,343.84,36.03,66.83,43.00,0.00,4.00,30.00,12190.00,5.6
74,dry,7,5/22/2007,19.3,2621.56,145.14,626.39,43.00,0.00,0.00,100.00,37470.00,7.805333333
75,dry,7,7/23/2007,n/a,11547.44,2031.44,1043.75,43.00,231.16,7.00,86.00,74610.00,8.032666667
76,dry,7,8/28/2007,29.2,1408.71,65.26,30.74,43.00,3.00,2.00,12.00,59293.33,n/a
78,dry,8,6/19/2006,n/a,6258.39,286.18,203.86,23.00,122.00,0.00,266.00,126090.00,8.7
79,dry,8,7/12/2006,n/a,3883.66,128.75,247.21,240.00,2.00,46.00,42.00,80666.67,7.5
80,dry,8,8/15/2006,26.8,3675.22,230.47,596.68,43.00,74.00,8.00,16.00,35306.67,8.1
81,dry,8,10/25/2006,10.8,512.37,36.19,146.58,23.00,11.38,2.00,22.00,10656.67,8
82,dry,8,4/3/2007,18.9,2205.89,69.27,12696.73,43.00,0.00,4.00,16.00,30653.33,8
